,NOME,VALOR,DETALHES,ENDEREÇO
0,"Torres Amintas Barros Residence, Lagoa Nova - Apartamento de 2/4 com 56m² para locação",R$ 1.450,"['2 quartos ', ' 56m² ', ' 2 vagas']",Nossa Senhora de Nazaré
1,"Imperdível! Lindo Apto, 3º andar | Sombra | Reformado - Cond. Jardim Botanico - Neopolis",R$ 900,"['3 quartos ', ' 86m² ', ' Condomínio: R$ 1']",Neópolis
2,Alugo apartamento com 160me em Lagoa Nova e varanda Gourmert,R$ 4.000,"['4 quartos ', ' 160m² ', ' Condomínio: R$ 0 ', ' 4 vagas']",Dix-Sept Rosado
3,"Apartamento Mobiliado em Ponta Negra (internet, tv a cabo, energia, iptu e condomínio)",R$ 1.300,"['1 quarto ', ' 35m² ', ' 1 vaga']",Ponta Negra
4,Apartamento no Corais Enseada de P. Negra,R$ 1.750,"['3 quartos ', ' 96m² ', ' Condomínio: R$ 530 ', ' 2 vagas']",Ponta Negra
5,"Alugo partamento bem localizado, na Av. Prudente de Morais, em cima de Miranda Computação",R$ 1.200,"['3 quartos ', ' 98m² ', ' 1 vaga']",Barro Vermelho
6,"Alugo apartamento mobiliado no Villes de France, Petrópolis",R$ 2.000,"['2 quartos ', ' 56m² ', ' 1 vaga']",Petrópolis
7,"Alugo excelente apartamento de 2 quartos, semi-mobiliado, no Villes de France",R$ 1.700,"['2 quartos ', ' 56m² ', ' 1 vaga']",Petrópolis
8,Alugo apto com vista pra o mar,R$ 3.200,"['3 quartos ', ' 90m² ', ' 2 vagas']",Ponta Negra
9,Apto para Alugar,R$ 1.500,['3 quartos'],Tirol
10,Alugo apto em Lagoa Nova de 2/4,R$ 1.500,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Alecrim
11,Suítes Mobiliada,R$ 700,"['1 quarto ', ' 1 vaga']",Ponta Negra
12,Vista Mar a 50 mts praia Morro Careca - Varandas Panorâmicas,R$ 1.600,"['1 quarto ', ' 60m² ', ' 1 vaga']",Ponta Negra
13,Residencial Therra Luna,R$ 2.300,"['4 quartos ', ' 110m² ', ' 2 vagas']",Tirol
14,Aluga-se Kitnet,R$ 400,"['1 quarto ', ' Condomínio: R$ 0 ', ' 1 vaga']",Bom Pastor
15,Kitnet UFRN cidade jardim capim macio,R$ 800,,Capim Macio
16,Apartamento Ponta Negra Lindo para Locação,R$ 1.700,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
17,"Alugo Ap de 87m, no Central Park Condomínio Club",R$ 2.500,"['3 quartos ', ' 87m² ', ' 2 vagas']",Neópolis
18,"Apartamento com 3 dormitórios para alugar, 92 m² por R$ 2.000,00/mês - Capim Macio - Natal",R$ 2.000,"['3 quartos ', ' 92m² ', ' 2 vagas']",Capim Macio
19,Residencial Normandia!,R$ 1.100,"['3 quartos ', ' 75m² ', ' 2 vagas']",Ponta Negra
20,Aluga-se apartamento mobiliado no Duna Barcane - Ponta Negra,R$ 2.200,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
21,Alugo apartamento de 3/4 no Residencial Ines Fernandes,R$ 2.400,"['3 quartos ', ' 88m² ', ' 2 vagas']",Lagoa Nova
22,Apto 1/4 em Lagoa Nova,R$ 1.100,"['1 quarto ', ' 1 vaga']",Lagoa Nova
23,"Alto Padrão, Apto Mobiliado, 10° andar, 2 vagas livres, no Bellevue Gardens",R$ 3.200,"['3 quartos ', ' 97m² ', ' 2 vagas']",Lagoa Nova
24,Aluga apartamento no vivendas do planalto ,R$ 300,"['2 quartos ', ' Condomínio: R$ 300 ', ' 1 vaga']",Felipe Camarão
25,"Apartamento para alugar, 55 m² por R$ 1.699,99/mês - Candelária - Natal/RN",R$ 1.699,"['2 quartos ', ' 55m² ', ' 1 vaga']",Candelária
26,Apartamento de 1/4 Com Garagem em Ponta Negra ,R$ 520,"['1 quarto ', ' 1 vaga']",Ponta Negra
27,Aluga Apartamento/Quitinete,R$ 700,"['1 quarto ', ' 37m²']",Capim Macio
28,Dom antonio,R$ 1.000,"['3 quartos ', ' 70m² ', ' 1 vaga']",Lagoa Nova
29,"Aluga-se Kitnet, valor do 370 a 470 reais",R$ 370,"['1 quarto ', ' 9m²']",Alecrim
30,"Apto 1/4, garagem, muito bem localizado, perto do Midway",R$ 850,"['1 quarto ', ' 1 vaga']",Lagoa Nova
31,"Apto 2/4 com suíte, varanda e boa área de lazer",R$ 1.600,"['2 quartos ', ' 1 vaga']",Lagoa Nova
32,Alugo Sun Gardens!!,R$ 1.300,"['2 quartos ', ' 2 vagas']",Pitimbu
