,NOME,ENDEREÇO,N° QUARTOS,ÁREA (m²),CONDOMINIO,VAGAS,VALOR
0,"Torres Amintas Barros Residence, Lagoa Nova - Apartamento de 2/4 com 56m² para locação",Nossa Senhora de Nazaré,2.0,56,0,2,1450
1,"Imperdível! Lindo Apto, 3º andar | Sombra | Reformado - Cond. Jardim Botanico - Neopolis",Neópolis,3.0,86,1,0,900
2,Alugo apartamento com 160me em Lagoa Nova e varanda Gourmert,Dix-Sept Rosado,4.0,160,0,4,4000
3,"Apartamento Mobiliado em Ponta Negra (internet, tv a cabo, energia, iptu e condomínio)",Ponta Negra,1.0,35,0,1,1300
4,Apartamento no Corais Enseada de P. Negra,Ponta Negra,3.0,96,530,2,1750
5,"Alugo partamento bem localizado, na Av. Prudente de Morais, em cima de Miranda Computação",Barro Vermelho,3.0,98,0,1,1200
6,"Alugo apartamento mobiliado no Villes de France, Petrópolis",Petrópolis,2.0,56,0,1,2000
7,"Alugo excelente apartamento de 2 quartos, semi-mobiliado, no Villes de France",Petrópolis,2.0,56,0,1,1700
8,Alugo apto com vista pra o mar,Ponta Negra,3.0,90,0,2,3200
9,Apto para Alugar,Tirol,3.0,0,0,0,1500
10,Alugo apto em Lagoa Nova de 2/4,Alecrim,2.0,56,0,1,1500
11,Suítes Mobiliada,Ponta Negra,1.0,0,0,1,700
12,Vista Mar a 50 mts praia Morro Careca - Varandas Panorâmicas,Ponta Negra,1.0,60,0,1,1600
13,Residencial Therra Luna,Tirol,4.0,110,0,2,2300
14,Aluga-se Kitnet,Bom Pastor,1.0,0,0,1,400
15,Kitnet UFRN cidade jardim capim macio,Capim Macio,1.0,0,0,0,800
16,Apartamento Ponta Negra Lindo para Locação,Ponta Negra,2.0,56,0,1,1700
17,"Alugo Ap de 87m, no Central Park Condomínio Club",Neópolis,3.0,87,0,2,2500
18,"Apartamento com 3 dormitórios para alugar, 92 m² por R$ 2.000,00/mês - Capim Macio - Natal",Capim Macio,3.0,92,0,2,2000
19,Residencial Normandia!,Ponta Negra,3.0,75,0,2,1100
20,Aluga-se apartamento mobiliado no Duna Barcane - Ponta Negra,Ponta Negra,2.0,56,0,1,2200
21,Alugo apartamento de 3/4 no Residencial Ines Fernandes,Lagoa Nova,3.0,88,0,2,2400
22,Apto 1/4 em Lagoa Nova,Lagoa Nova,1.0,0,0,1,1100
23,"Alto Padrão, Apto Mobiliado, 10° andar, 2 vagas livres, no Bellevue Gardens",Lagoa Nova,3.0,97,0,2,3200
24,Aluga apartamento no vivendas do planalto ,Felipe Camarão,2.0,0,300,1,300
25,"Apartamento para alugar, 55 m² por R$ 1.699,99/mês - Candelária - Natal/RN",Candelária,2.0,55,0,1,1699
26,Apartamento de 1/4 Com Garagem em Ponta Negra ,Ponta Negra,1.0,0,0,1,520
27,Aluga Apartamento/Quitinete,Capim Macio,1.0,37,0,0,700
28,Dom antonio,Lagoa Nova,3.0,70,0,1,1000
29,"Aluga-se Kitnet, valor do 370 a 470 reais",Alecrim,1.0,9,0,0,370
30,"Apto 1/4, garagem, muito bem localizado, perto do Midway",Lagoa Nova,1.0,0,0,1,850
31,"Apto 2/4 com suíte, varanda e boa área de lazer",Lagoa Nova,2.0,0,0,1,1600
32,Alugo Sun Gardens!!,Pitimbu,2.0,0,0,2,1300
33,"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821175",Dix-Sept Rosado,2.0,61,440,1,1008
34,"Kitchenette/conjugado para alugar com 1 dormitórios em Ponta negra, Natal cod:821787",Ponta Negra,1.0,40,0,1,1200
35,Apartamento de Frente para o Mar em Ponta Negra / Riviera Ponta Negra,Ponta Negra,2.0,55,0,1,2200
36,Alugo Cobertura no Vita Residencial Clube,Pitimbu,4.0,176,0,3,3900
37,Casa 3/4 no alecrim - 1° andar,Alecrim,3.0,0,0,0,1000
38,Quality Suítes Natal; mobiliado; 1 suíte; 26m²; vista para o mar,Ponta Negra,1.0,26,0,1,1500
39,Cond. Galdina Barbosa; 3 suítes; 183m²; em Capim Macio,Capim Macio,3.0,183,0,2,2900
40,"Edifício Suzane, Lagoa Nova - Apartamento 1/4 com 43m², para locação.",Dix-Sept Rosado,1.0,43,0,1,860
41,"Apartamento com 3 dormitórios para alugar, 87 m² por R$ 2.500,00/mês - Capim Macio - Natal",Capim Macio,3.0,87,0,1,2500
42,"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:1860",Lagoa Nova,3.0,98,700,2,1500
43,"Apartamento para alugar com 1 dormitórios em Barro vermelho, Natal cod:3520",Barro Vermelho,1.0,40,80,0,650
44,Apartamento -Aluguel - Residencial Gênesis - Lagoa Nova - 4 suítes - Lazer Completo,Lagoa Nova,4.0,219,0,2,3500
45,"Lindo apartamento 2 quartos, 55 m², 1 vaga, vista pro mar, lazer completo e segurança 24 h",Capim Macio,2.0,55,415,1,1400
46,Apat. Lagoa nova alugar,Lagoa Nova,2.0,57,0,1,1350
47,Apto Ponta Negra 2/4; 73m²; 700m mar,Ponta Negra,2.0,73,0,2,1450
48,Apartº 4 Estações- 2/4 c/suíte 56 m² Candelária,Candelária,2.0,56,0,1,1600
49,Apartº Metrópoles - 2 quartos 56 m²,Candelária,2.0,56,0,1,1500
50,"Apto no Ed. Ankara na Tororós, entre Amintas Barros e Miguel Castro",Lagoa Nova,2.0,0,0,1,2100
51,Alugo apartamento mobiliado,Ponta Negra,2.0,64,0,1,2200
52,Alugo excelente apartamento de 02 quartos em Ponta Negra,Ponta Negra,2.0,60,0,0,1250
53,Kitnet em neopoli quitnet quitenete ,Neópolis,1.0,30,0,0,450
54,Apartamento em Lagoa Nova 72m²,Lagoa Nova,3.0,72,0,0,850
55,Apartamento em Capim Macio 183m² 3Suites 2Vagas - O.P.O.R.T.U.N.I.D.A.D.E,Capim Macio,3.0,183,0,2,2915
56,Alugamos kitnetes em condomínio fechado em Cidade Satélite,Pitimbu,1.0,0,0,0,300
57,Apartamento em Ponta Negra - Facil acesso a Praia - O.P.O.R.T.U.N.I.D.A.D.E,Ponta Negra,2.0,55,0,1,1637
58,"Excelente Apartamento 2/4 sendo 1 suite mobiliado em Pitimbu, Vita club",Pitimbu,2.0,56,0,1,1600
59,Residencial Nizário Gurgel,Tirol,2.0,54,0,1,1400
60,Apartamento reformado para alugar no SPORTS PARK,Ponta Negra,3.0,108,743,2,4200
61,Alugo Apartamento reformado e pronto para morar no Cristallo,Ponta Negra,2.0,55,800,1,3000
62,Flat em Ponta Negra com vista para o mar,Ponta Negra,1.0,0,300,1,1300
63,Alugar,Dix-Sept Rosado,2.0,0,0,0,600
64,Kit net Cidade alta c/internet,Cidade Alta,1.0,25,0,0,420
65,Alugo excelente Kitinet mobiliado,Capim Macio,1.0,0,0,1,500
66,"Apartamento no bairro de Ponta negra, Natal-RN",Ponta Negra,2.0,54,0,1,1450
67,"Alugo Extraordinário Apartamento no Residencial Portal Petrópolis, Petrópolis, Natal, RN",Petrópolis,3.0,105,0,2,3000
68,"Alugo Apartamento no Condomínio Estrela de Natal, Pitimbu, Natal, RN",Pitimbu,2.0,57,0,1,1500
69,"Alugo Belíssimo Apartamento no Condomínio Corais do Alto de Candelária, Natal, RN",Candelária,3.0,97,0,2,2500
70,Apartamento 3 quartos em Barro Vermelho,Barro Vermelho,3.0,150,0,2,1400
71,PR - Apartamento para locação e venda no condomínio Verita,Pitimbu,2.0,54,0,1,750
72,Apartamento de 3/4 sendo 1 suite no Residencial Ariano Suassuna - Lagoa Nova,Lagoa Nova,3.0,104,0,2,2700
73,Excelente Apartamento Condomínio Solar dos Mirantes Capim Macio 3/4,Capim Macio,3.0,100,0,2,2350
74,"Apartamento 2/4 sombra, térreo, conj. cidade Satélite, Natal RN",Pitimbu,2.0,50,0,1,850
75,Alugo Apartamento mobiliado,Pajuçara,2.0,46,0,1,1000
76,Sports Garden club andar alto locação,Lagoa Nova,4.0,170,0,4,5000
77,Villa Park Imperial todo mobiliado pronto para você!,Ponta Negra,2.0,56,0,1,1600
78,Sun Gardens todo projetado,Pitimbu,2.0,60,350,2,1400
79,"Excelente apartamento, proximo a UFRN por R$ 1.300,00",Candelária,2.0,54,0,1,1300
80,Diárias com valores promocionais em Ponta Negra ,Ponta Negra,1.0,0,0,1,130
81,Alugo flat por diária em Ponta negra área de lazer na cobertura  vista maravilhosa ,Ponta Negra,1.0,45,0,1,150
82,"Apto 3/4 com suite , semi mobiliado , no central Park",Neópolis,3.0,86,0,2,2500
83,"Apto 3/4 com suite , varanda gourmet no portamaris",Ponta Negra,3.0,80,0,2,2400
84,"Apartamento Mobiliado, 2 quartos, Ponta Negra",Ponta Negra,2.0,55,0,1,1700
85,"Apartamento Mobiliado Novinho, 2/4 sendo 1  Suíte, Ponta Negra",Ponta Negra,2.0,60,0,1,2100
86,Alugo apartamento mobiliado no Condomínio Estrela do Atlântico - andar alto,Ponta Negra,2.0,59,0,1,2100
87,"Apartamento com 2 dormitórios para alugar, 53 m² por R$ 1.500,00/mês - Tirol - Natal/RN",Tirol,2.0,53,350,1,1500
88,"Apartamento para alugar, 81 m² por R$ 1.500,00/ano - Capim Macio - Natal/RN",Capim Macio,3.0,81,0,1,1500
89,Flat em Ponta Negra,Ponta Negra,1.0,35,0,0,1800
90,Alugo flat na melhor localização de Ponta Negra,Ponta Negra,1.0,48,0,1,2000
91,KITNET NO BAIRRO NAZARÉ,Nossa Senhora de Nazaré,1.0,40,0,0,550
92,More onde muitos passam férias!!! Ponta Negra,Ponta Negra,2.0,0,0,1,2200
93,"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:3532",Alecrim,1.0,35,60,0,480
94,"Apartamento para alugar com 2 dormitórios em Pitimbu, Natal cod:7173",Pitimbu,2.0,57,450,1,1000
95,Vivace Candelária,Candelária,2.0,58,600,0,1000
96,Apartamento para alugar com 3 dormitórios cod:greenlife19,Nossa Senhora de Nazaré,3.0,72,430,2,1850
97,Apartamento mobíliado no residencial estrela do Atlântico,Ponta Negra,2.0,59,0,1,2000
98,"Excelente oferta de locação no bairro do Tirol. Charme, laser, conforto e a localização qu",Tirol,1.0,55,450,1,1730
99,Apartamentos/Flats vista mar,Ponta Negra,1.0,45,0,0,1400
100,Aluguel - Apartamento em Ponta Negra Parnamirim - 2/4 Suíte - 55m² - Cristallo,Ponta Negra,2.0,55,0,0,2301
