,NOME,ENDERECO,QUARTOS,VAGAS,CONDOMINIO,AREA
0,LC - Apartamento em Ponta Negra!,Ponta Negra,2,1,1,8
1,"Alugo apartamento no Alecrim, sua casa no centro da cidade",Alecrim,2,1,1,0
2,LCAP2201 - Ótimo apartamento em Tirol!,Barro Vermelho,2,2,1,0
3,Kitnet UFRN cidade jardim capim macio,Capim Macio,1,1,1,1
4,Kitinet excelente localização Ponta Negra,Ponta Negra,1,1,0,4
5,Apartamento top Ponta Negra,Ponta Negra,1,1,1,1
6,Loft de Altissimo Padrão em Ponta Negra. ,Ponta Negra,1,1,1,1
7,"Kitnet em Capim Macio, do lado do Shopp Cidade jardim",Capim Macio,1,1,0,0
8,"Aluga-se apartamentos no Condominio Maria Luiza, apto de",Nossa Senhora de Nazaré,2,1,5,1
9,Aluguel de apartamento com todas as taxas inclusas ,Nossa Senhora da Apresentação,2,1,0,3
10,Condomínio residencial Vitória,Lagoa Nova,2,1,1,6
11,Alugo Apartamento nas proximidades do supermercado favorito da Ayrton Senna.,Neópolis,2,1,0,1
12,Apartamento - Condomínio Parque das Princesas - Capim Macio,Capim Macio,2,1,1,0
13,"Disponível a partir do dia 30 janeiro, Estrela do Atlantico",Ponta Negra,2,1,1,7
14,Apto em Cidade Satélite - Térreo - 2/4 - R$ 700 reais - Incluso taxas,Pitimbu,2,1,0,9
15,Ultima unidade no Res. Porto Fino - Pitimbu para alugar,Pitimbu,2,1,1,0
16,Aluga-se apartamento em Ponta Negra,Ponta Negra,2,1,1,0
17,Apartamento mobiliado para alugar em Ponta Negra,Ponta Negra,2,1,1,7
18,Apartamento em Neopolis para locação,Neópolis,2,1,1,0
19,"Locação no Sun Goldem 2/4 sendo 1 suíte R$ 1.350,00",Ponta Negra,2,1,1,6
20,"Alugo apartamento em Capim Macio - Maria Bernadete Três quartos, sendo uma suíte",Capim Macio,3,2,0,8
21,Alugo Apartamento 1/4 Garagem Ponta Negra ,Ponta Negra,1,1,1,1
22,Aluguel temporada de apartamento com 2 quartos no Blue Ocean em Ponta Negra/ Natal-RN,Ponta Negra,2,1,0,5
23,"Cond. Quatro Estações, Candelária - Apto mobiliado 2/4 sendo 1 suíte com 56m², para alugar",Candelária,2,1,1,6
24,Apartamento 2/4 próximo ao IFRN e Midway. ,Lagoa Nova,2,2,0,7
25,Aluga-se Apartamento / Kitnet em Ponta Negra Mobiliado,Ponta Negra,1,1,1,0
26,Flat em Ponta negra 150 reais a diária top de luxo,Ponta Negra,1,1,0,0
27,"Apartamento para alugar com 3 dormitórios em Neópolis, Natal cod:EI23064",Neópolis,3,1,0,5
28,Apartamento 2/4 no Residencial Ahead Ponta Negra,Ponta Negra,2,1,1,5
29,"Apartamento para alugar com 1 dormitórios em Tirol, Natal cod:EI11395",Tirol,1,1,1,3
30,Acquarelle- Ponta Negra,Ponta Negra,3,2,1,2
31,"Apartamento para alugar com 1 dormitórios em Lagoa nova, Natal cod:4697",Dix-Sept Rosado,1,1,0,0
32,Apartamento 2/4 Ponta Negra,Ponta Negra,2,1,1,6
33,"Apartamento para alugar com 2 dormitórios em Ponta negra, Natal cod:11294",Ponta Negra,2,1,0,5
34,Alugo apartamento 2/4 no Residencial Porto Palladio em Ponta Negra,Ponta Negra,2,1,5,8
35,"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821176",Dix-Sept Rosado,2,1,0,1
36,"Apartamento para alugar com 2 dormitórios em Tirol, Natal cod:EI22453",Tirol,2,1,0,0
37,"Apartamento com 3 dormitórios para alugar, 87 m² por R 2.500,00/mês - Capim Macio - Natal/",Capim Macio,3,1,1,7
38,"Flat para Locação em Natal, Ponta Negra, 1 dormitório, 1 suíte, 1 banheiro, 1 vaga",Ponta Negra,1,1,1,0
39,"Apartamento para alugar com 1 dormitórios em Tirol, Natal cod:EI22227",Tirol,1,1,0,0
40,"Kitnets para alugar em Mirassol, próximo a UFRN",Capim Macio,1,1,1,1
41,"Apartamento para Locação em Natal, Petrópolis, 2 dormitórios, 1 suíte, 1 vaga",Rocas,2,1,1,0
42,Apartamento mob. 2 quartos,Ponta Negra,2,1,0,4
43,"Apartamento com 2 dormitórios para alugar, 56 m² por R$ 1.600,00/mês - Lagoa Nova - Natal/",Lagoa Nova,2,1,1,6
44,"Apartamento com 2 dormitórios para alugar, 78 m² por R$ 1.300,00/mês - Lagoa Nova - Natal/",Lagoa Nova,2,2,0,8
45,"Apto em Capim Macio c/ 68 m², 3 dorms c/ suíte, 2 vagas de garagem",Capim Macio,3,2,1,8
46,"Apartamento para alugar com 2 dormitórios em Nova descoberta, Natal cod:EI18163",Nova Descoberta,2,1,0,0
47,Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,Capim Macio,3,1,1,0
48,Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Res. Mandacarú,Capim Macio,3,1,1,0
49,Flats mobiliados alto padrão completos,Cidade Alta,1,1,0,0
50,More no melhor de Ponta Negra / Riviera Ponta Negra,Ponta Negra,2,1,1,5
51,"Condomínio Araguaia, Lagoa Nova, 2/4 - aluguel",Lagoa Nova,2,1,0,6
52,Green Hill - Locação em Tirol,Tirol,2,1,1,7
53,Condomínio Walfredo Gurgel!,Barro Vermelho,2,2,1,0
54,Aluguel de um apartamento com ótima localização ,Candelária,2,1,0,5
55,"Apartamento em Neópolis, Condomínio Serrambi II",Ponta Negra,2,1,1,5
56,Flat Mobiliado no Ocean View em Petrópolis com 50m2 com 1 quarto,Petrópolis,1,1,1,0
57,"Alugo kitnet em Felipe Camarão 1/4 sala coz, ban 360,00 não paga água",Felipe Camarão,1,1,1,0
58,Alugo Kitnet Próximo ao Shopping Midway,Lagoa Nova,1,1,1,0
59,Alugo Kitnet na Avenida Rio Branco,Cidade Alta,1,1,1,0
60,"Alugo apto no Residence R$ 1.200,00",Lagoa Nova,1,1,1,0
61,Lindo apartamento em ponta negra reformado ,Ponta Negra,2,1,1,1
62,Villa Park Condominio Clube. 2/4 sendo um suite,Ponta Negra,2,1,1,4
63,Apartamento com um quarto nas Quintas,Quintas,1,1,1,0
64,Apartamento em Lagoa Nova ,Lagoa Nova,1,1,1,1
65,Alugo apartamento 3/4 no Residencial Tereza Campos em Lagoa Nova,Lagoa Nova,3,3,1,6
66,Portal do Alto Petropólis,Petrópolis,3,2,1,8
67,"Apto c/ 3qts, sdo 1ste, Cond. Sun Rise. ",Ponta Negra,3,2,1,1
68,ALUGO APARTAMENTO NAS ROCAS,Rocas,2,1,1,1
69,Aluguel,Alecrim,3,1,0,1
70,Excelente apto em Cidade Satelite - Sun Gardens,Pitimbu,2,2,1,0
71,"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:3514",Alecrim,1,1,0,0
72,Apartamento Ponta Negra 2/4 alugar,Ponta Negra,2,1,1,4
73,PETRÓPOLIS FRENTE PARA O MAR 3/4,Petrópolis,3,2,0,0
74,Alugo apartamento (Porto Palladio),Neópolis,2,1,1,6
75,"Apartamento de 1\4 em um luxuoso condomínio em Petrópolis, imaginou acordar com essa vista",Petrópolis,1,1,0,6
76,"Alugo apto 1 quarto, próximo ao Maxx da Prudente",Lagoa Nova,1,1,1,0
77,"Apartamanto mobiliado em Areia Preta por R$ 4.500,00",Areia Preta,3,2,0,8
78,"Kitinet Mobiliado em Ponta Negra (internet, tv a cabo, iptu e condomínio)",Ponta Negra,1,1,1,0
79,Apartamento Ponta Negra ,Ponta Negra,2,1,0,6
80,Apartamento Joan Mirò localizaçao excelente Aluguel diaria ou temporada,Ponta Negra,2,1,1,5
81,Apt 2/4 Mobiliado  Tudo incluso 2.000 ,Candelária,2,1,1,7
82,Dividir apartamento ,Barro Vermelho,3,1,1,1
83,Alugo Apartamento no  1? andar,Planalto,2,1,0,0
84,Alugo Apto no Sun Golden - 2/4 sendo 1 suíte - R$ 1.300,Ponta Negra,2,1,1,6
85,"Apartamento com 3 dormitórios para alugar, 81 m² por R$ 2.350,00/mês - Lagoa Nova - Natal/",Lagoa Nova,3,1,1,1
86,Alugo ap mobiliado,Planalto,2,1,1,0
87,Flat conjunto Alagamar ,Ponta Negra,1,1,1,1
88,Alugo ap mobiliado,Planalto,2,1,1,0
89,Locação Planalto - Parada de ônibus em frente ao empreendimento,Planalto,2,1,1,4
90,2 quartos sendo 1 suíte | Lazer Completo | Padrão Superior | Ótima Localização,Pajuçara,2,1,1,0
91,Alugo apartamento bairro Lagoa nova,Lagoa Nova,3,2,0,5
92,Apartamento vista mar em Ponta Negra,Ponta Negra,2,1,1,1
93,CASA CONJUNTO PONTA NEGRA.,Ponta Negra,2,1,1,1
94,"Apto de 3/4, 76m² no condomínio Natture em Candelária, Natal RN",Candelária,3,2,1,6
95,"Condomínio Alice Grilo: Apto 4/4 sendo 3 suítes, 160m² em Lagoa Nova, Natal RN",Lagoa Nova,4,3,1,0
96,Carmel,Lagoa Nova,2,1,1,5
97,"Apartamento para alugar com 2 dormitórios em Candelária, Natal cod:4274",Candelária,2,1,0,0
98,"Apartamento no Ed. Paul Cezanne em Neópolis c/ 98 m², 1º andar",Neópolis,3,2,1,8
99,ALUGUEL APTO A 250M DA PRAIA PN,Ponta Negra,1,1,0,0
100,Procuro pessoas para dividir AP,Lagoa Nova,3,1,1,1
101,Cód. 5399 - Corais de Ponta Negra,Ponta Negra,3,2,0,0
102,Apartamento 2 quartos Tirol,Tirol,2,1,1,0
103,Alugo Apartamento com 02 quartos em Ponta Negra,Ponta Negra,2,1,1,5
104,Rio Tupana Ponta Negra,Ponta Negra,3,2,1,7
105,Alugo Apartamento 3/4 Capim Macio - Ventilado e Pronto para Morar,Capim Macio,3,1,0,3
106,Kitnet,Dix-Sept Rosado,1,1,1,3
107,Excelente apartamento no Planalto - Cond Solar das Estações,Planalto,2,1,1,0
108,Duna Barcane ,Ponta Negra,2,1,1,7
109,Cod. 11294 - Cond. Praia do Forte,Ponta Negra,2,1,0,6
110,Alugo apartamento com 02 Quartos no Ahead Ponta Negra,Ponta Negra,2,1,1,0
111,Apartamento Mobiliado 2/4 em Ponta Negra ,Ponta Negra,2,1,1,1
112,Kit Net bem localizado Conjunto Pirangi,Neópolis,1,1,1,2
113,"Praia do forte, Ap com jardim",Neópolis,2,1,1,5
114,Apartamento para aluguel em ponta Negra,Ponta Negra,2,2,0,9
115,Aluguel - Apartamento em Ponta Negra - Açai Flat - 36m²,Ponta Negra,1,1,1,0
116,Alugo apartamento no Olimpo Capim Macio ,Capim Macio,2,1,0,9
